dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
42,2018-07-24T16_19_50.004700+00_00_LBL_G5,0.5071625145683096,0.5921630378035005,7.1014861082704686,0,0,0.35409303921937857
42,2019-07-23T20_39_52.697300+00_00_LBL_D12,0.10415054416219006,0.2770480754596508,8.834817872402056,0,0,0.00013848673703328727
42,2018-11-09T01_44_50.988010+00_00_LBL_G5,0.3601511815828977,0.7195864032539439,7.518455324078541,0,1,0.4369648079663535
42,2018-07-06T15_40_16.425303+00_00_LBL_C5,0.24705975014941944,0.617063611328606,6.8322591546575895,0,0,0.20669146343054726
42,2018-07-09T22_47_01.237679+00_00_LBL_C6,0.5288962840658621,0.7253891953665187,4.815048038477716,1,1,0.7097593088872788
42,2019-10-04T15_31_28.730752+00_00_LBL_A3,0.7040871062536409,0.4817757776206475,1.908320660438844,0,0,1.0000000994736041e-07
42,2019-08-08T16_56_58.410591+00_00_LBL_C2,0.9342993749083214,2.110471255070414,0.8481425157505974,0,0,0.0063290412330466225
42,2017-10-18T19_58_20.000000+00_00_LBL_D3,0.5353878385216622,1.0707492153722509,4.194307474776734,0,0,0.2856160621844568
42,2018-07-02T21_24_34.761347+00_00_LBL_C8,0.5341897310123641,0.941284660985688,6.636047607306493,0,0,0.1780478235536211
42,2019-08-20T17_14_13.821028+00_00_LBL_C9,0.1205916572793026,0.5294060218575392,10.601781446882473,0,0,1.0000000994736041e-07
42,2019-02-25T18_10_13.318090+00_00_LBL_A6,0.32880814073148024,0.8009182717820639,3.6557867058215407,0,0,1.7021983582417673e-05
42,2017-10-18T19_58_20.000000+00_00_LBL_E1,0.6442167328736794,0.64419602338573,3.5767255746402795,1,1,0.4476309599214911
42,2019-10-16T15_19_46.641892+00_00_LBL_F11,0.5832738664535698,0.5864733610782422,11.290897240929825,1,1,0.9708101336952677
42,2018-11-04T01_21_18.950306+00_00_LBL_H10,0.18547992620019893,0.8272975596012873,7.326122490428912,0,0,0.0009498505529359451
42,2017-10-17T20_00_00.000000+00_00_LBL_A11,1.9019105680365536,0.9508954978046242,2.923978868802104,0,0,0.28888057575929316
42,2019-07-12T13_34_37.895617+00_00_LBL_A10,0.4850811580244366,0.6603090447526262,9.295149064150461,0,0,0.36022429164114544
42,2018-08-28T17_28_06.885285+00_00_LBL_H9,0.5766863271297646,1.319129731390973,5.610737416596566,0,0,9.894953932532702e-05
42,2019-08-12T20_25_42.894023+00_00_LBL_D5,0.2922347020246589,1.8844491989523475,1.1154178876980554,0,0,0.06202939009104798
42,2018-07-06T15_40_16.425303+00_00_LBL_D6,0.3062917634427445,1.0079557147561438,6.929524800953459,1,0,0.3706375992022561
42,2017-10-20T22_59_29.000000+00_00_LBL_G9,0.880772928244674,1.7777669980681727,3.5767255746402795,0,0,0.30161852455757554
42,2019-06-18T20_49_29.598214+00_00_LBL_C4,0.4297182027736005,0.6579099880542376,5.353899630675647,0,0,3.4090795905131434e-05
42,2018-07-12T19_22_54.635369+00_00_LBL_E11,0.573854540428156,0.5746232066620921,6.685451733295285,0,0,0.26553521785934564
42,2018-07-24T16_19_50.004700+00_00_LBL_D8,0.5413839039225778,0.6618264737326471,3.7343044615307672,0,1,0.437192933797504
42,2019-03-29T20_02_36.045372+00_00_ECL_A2,0.7367136336759351,0.5705334858351412,5.164313828795403,1,1,0.5213971000846699
42,2018-09-24T17_37_31.739860+00_00_LBL_D8,0.5236916704867901,0.448169575944501,7.364479152682468,1,0,0.3913272694393878
42,2018-08-28T18_06_47.347483+00_00_LBL_D5,0.6208371854434855,1.4092920437237315,7.270452443616787,0,0,0.34483294733797853
42,2019-08-12T20_25_42.894023+00_00_LBL_F12,0.6336764145120517,1.3997903309265125,7.315229198348902,0,1,0.736755748848286
42,2019-10-07T16_17_21.164849+00_00_LBL_G12,0.2259319130671109,0.4144440655081764,6.149033239191831,0,0,1.0000000994736041e-07
42,2019-08-02T12_18_03.108790+00_00_LBL_E12,0.3975441174208557,0.5834978923706376,2.428694952971083,0,0,0.06711315858044413
42,2019-09-12T19_30_45.894318+00_00_LBL_E6,0.257489357204303,0.5400849970291748,10.866825983054529,0,0,0.003984765758588779
42,2019-06-19T14_53_56.517003+00_00_LBL_A1,0.1383241865951758,0.28554495879969594,0.5196951689648269,0,0,0.04121361088605786
42,2019-07-01T18_34_00.101738+00_00_LBL_D1,0.17200803524992184,0.5030042289936701,8.817218633612413,0,0,0.3650674729176577
42,2019-09-03T16_01_02.908926+00_00_LBL_H1,0.2717705776026841,0.4305132856798207,4.98283728003476,0,0,1.0000000994736041e-07
42,2018-06-28T22_33_43.276776+00_00_LBL_C3,0.6641083156558061,1.5633220627329982,6.665790730075804,0,0,0.0018745902924541945
42,2019-05-23T02_12_25.720560+00_00_LBL_C9,0.30478338728644816,0.5291689322010219,1.0194020622002375,0,0,0.26780879723268997
42,2017-10-16T17_52_59.000000+00_00_LBL_H12,0.7654096877337025,1.5303244115478971,5.266910654701227,0,0,0.10146689865620602
42,2019-05-30T15_13_14.483373+00_00_LBL_A5,0.6697548996170196,1.1789760787950423,8.021571038959188,0,0,0.01277985988776196
42,2019-05-29T17_22_53.471261+00_00_LBL_D1,0.08480733070258327,0.29496882399482083,8.834817872402056,0,0,1.0000000994736041e-07
42,2018-08-28T17_28_06.885285+00_00_LBL_C2,0.12462827369732205,0.6642612629112898,5.164313828795407,0,0,1.0000000994736041e-07
42,2019-05-29T19_49_43.354126+00_00_LBL_G6,0.6614938040691808,1.061685533819362,6.783878009165862,0,0,0.015775612053388302
42,2019-10-04T15_31_28.730752+00_00_LBL_B5,0.05944798786310425,0.20605591949815666,6.679122311535956,0,0,1.0000000994736041e-07
42,2018-09-25T15_12_25.939061+00_00_LBL_H1,0.7180647942207815,1.761991523977067,6.576293002765441,0,0,0.29538162545097474
