dataset,name,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,binarized_crystalscore,binarized_crystalscore_predictions,binarized_crystalscore_prob_predictions
42,2018-07-24T16_19_50.004700+00_00_LBL_G5,0.5071625145683096,0.5921630378035005,7.1014861082704686,0,0,0.34855493576568203
42,2019-07-23T20_39_52.697300+00_00_LBL_D12,0.10415054416219006,0.2770480754596508,8.834817872402056,0,0,0.02060828635177463
42,2018-11-09T01_44_50.988010+00_00_LBL_G5,0.3601511815828977,0.7195864032539439,7.518455324078541,0,1,0.7358232030854057
42,2018-07-06T15_40_16.425303+00_00_LBL_C5,0.24705975014941944,0.617063611328606,6.8322591546575895,0,0,0.08752027722769432
42,2018-07-09T22_47_01.237679+00_00_LBL_C6,0.5288962840658621,0.7253891953665187,4.815048038477716,1,1,0.9193281497693746
42,2019-10-04T15_31_28.730752+00_00_LBL_A3,0.7040871062536409,0.4817757776206475,1.908320660438844,0,0,0.007183456600336652
42,2019-08-08T16_56_58.410591+00_00_LBL_C2,0.9342993749083214,2.110471255070414,0.8481425157505974,0,0,0.05573436168139231
42,2017-10-18T19_58_20.000000+00_00_LBL_D3,0.5353878385216622,1.0707492153722509,4.194307474776734,0,0,0.08947378650980953
42,2018-07-02T21_24_34.761347+00_00_LBL_C8,0.5341897310123641,0.941284660985688,6.636047607306493,0,0,0.04467837713498456
42,2019-08-20T17_14_13.821028+00_00_LBL_C9,0.1205916572793026,0.5294060218575392,10.601781446882473,0,0,0.019091057092233996
42,2019-02-25T18_10_13.318090+00_00_LBL_A6,0.32880814073148024,0.8009182717820639,3.6557867058215407,0,0,0.1754965080703164
42,2017-10-18T19_58_20.000000+00_00_LBL_E1,0.6442167328736794,0.64419602338573,3.5767255746402795,1,1,0.728050301735116
42,2019-10-16T15_19_46.641892+00_00_LBL_F11,0.5832738664535698,0.5864733610782422,11.290897240929825,1,1,0.6608493746494669
42,2018-11-04T01_21_18.950306+00_00_LBL_H10,0.18547992620019893,0.8272975596012873,7.326122490428912,0,0,0.09899622067304754
42,2017-10-17T20_00_00.000000+00_00_LBL_A11,1.9019105680365536,0.9508954978046242,2.923978868802104,0,1,0.5862712224429272
42,2019-07-12T13_34_37.895617+00_00_LBL_A10,0.4850811580244366,0.6603090447526262,9.295149064150461,0,1,0.608445956766862
